from,to,amount,resource,time
0,72832678164482443,2.314814814852184e-05,water,180
0,72832678164482443,2.314814814852184e-05,energy,180
0,72832678164482443,2.3148134687289712e-05,food,181
0,72832678164482443,2.314814814852184e-05,water,181
0,72832678164482443,2.314814814852184e-05,energy,181
0,72832678164482443,2.314816160975397e-05,food,182
0,72832678164482443,2.314814814852184e-05,water,182
0,72832678164482443,2.314814814852184e-05,energy,182
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,182
0,72832678164482443,2.3148134687289712e-05,food,183
0,72832678164482443,2.314814814852184e-05,water,183
0,72832678164482443,2.314814814852184e-05,energy,183
0,72832678164482443,2.314816160975397e-05,food,184
0,72832678164482443,2.314814814852184e-05,water,184
0,72832678164482443,2.314814814852184e-05,energy,184
0,72832678164482443,2.3148134687289712e-05,food,185
0,72832678164482443,2.314814814852184e-05,water,185
0,72832678164482443,2.314814814852184e-05,energy,185
0,72832678164482443,2.314816160975397e-05,food,186
0,72832678164482443,2.314814814852184e-05,water,186
0,72832678164482443,2.314814814852184e-05,energy,186
0,72832678164482443,2.3148134687289712e-05,food,187
0,72832678164482443,2.314814814852184e-05,water,187
0,72832678164482443,2.314814814852184e-05,energy,187
0,72832678164482443,2.314816160975397e-05,food,188
0,72832678164482443,2.314814814852184e-05,water,188
0,72832678164482443,2.314814814852184e-05,energy,188
0,72832678164482443,2.3148134687289712e-05,food,189
0,72832678164482443,2.314814814852184e-05,water,189
0,72832678164482443,2.314814814852184e-05,energy,189
0,72832678164482443,2.314816160975397e-05,food,190
0,72832678164482443,2.314814814852184e-05,water,190
0,72832678164482443,2.314814814852184e-05,energy,190
0,72832678164482443,2.3148134687289712e-05,food,191
0,72832678164482443,2.314814814852184e-05,water,191
0,72832678164482443,2.314814814852184e-05,energy,191
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,191
0,72832678164482443,2.314816160975397e-05,food,192
0,72832678164482443,2.314814814852184e-05,water,192
0,72832678164482443,2.314814814852184e-05,energy,192
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,192
0,72832678164482443,2.3148134687289712e-05,food,193
0,72832678164482443,2.314814814852184e-05,water,193
0,72832678164482443,2.314814814852184e-05,energy,193
0,72832678164482443,2.314816160975397e-05,food,194
